player,rank,age,player_point,tournament_played,next_best
Michel Vernier,695,29,33,37,0
Davide Galoppini,696,27,33,41,0
Arthur Fery,697,19,32,10,0
Hazem Naw,698,22,32,14,0
Francesco Maestrelli,699,19,32,18,0
Tomas Farjat,700,21,32,21,0
Samuel Vincent Ruggeri,701,19,32,24,0
Rayane Roumane,702,21,32,26,0
Jorge Panta,703,26,32,30,0
Denis Klok,704,23,32,35,0
Jean Thirouin,705,24,32,37,0
Sascha Gueymard Wayenburg,706,18,31,12,0
Duarte Vale,707,23,31,15,0
Oscar Moraing,708,21,31,23,0
Emiliano Maggioli,709,20,31,28,0
Dominik Boehler,710,26,31,29,0
Mark Whitehouse,711,28,31,31,0
Cayetano March,712,21,31,37,0
Alexis Musialek,713,33,31,40,1
Marsel Ilhan,714,34,31,44,1
James McCabe,715,18,30,7,0
Gabi Adrian Boitan,716,22,30,7,0
Lloyd Glasspool,717,28,30,12,0
Jonathan Eysseric,718,31,30,13,0
Luke Saville,719,28,30,14,0
Jaroslav Pospisil,720,41,30,15,0
Oleksandr Ovcharenko,721,20,30,22,0
Ricardo Rodriguez - Pace,722,28,30,32,0
Savva Polukhin,723,23,29,14,0
John Echeverria,724,20,29,16,0
Carlos Boluda-Purkiss,725,29,29,18,0
Timo Legout,726,19,29,20,0
Sebastian Gima,727,19,29,21,0
Manuel Pena Lopez,728,24,29,21,0
Federico Iannaccone,729,22,29,23,0
Fabrizio Ornago,730,29,29,24,0
Pietro Rondoni,731,28,29,25,0
Matic Spec,732,27,29,28,0
Arnaud Bovy,733,21,29,31,0
Erik Crepaldi,734,31,29,32,1
Luis Faria,735,22,29,37,0
Fermin Tenti,736,24,29,45,0
Juan Martin del Potro,737,33,28,3,0
Eduardo Struvay,738,31,28,14,0
Mateo Nicolas Martinez,739,28,28,18,0
Quentin Robert,740,27,28,18,0
Martins Podzus,741,27,28,20,0
Toby Alex Kodat,742,19,28,20,0
Guy Orly Iradukunda,743,25,28,25,0
Lenny Hampel,744,25,28,25,0
Arklon Huertas Del Pino Cordova,745,27,28,29,0
Sandro Kopp,746,21,28,30,0
Sebastian Prechtel,747,25,28,32,2
Marco Miceli,748,23,28,34,0
Michal Dembek,749,24,28,35,1
Filip Bergevi,750,27,28,37,0
Giovanni Oradini,751,24,27,13,0
Gianmarco Ferrari,752,21,27,14,0
Collin Altamirano,753,26,27,14,0
Hanwen Li,754,19,27,16,0
Jacob Grills,755,26,27,20,0
Franco Emanuel Egea,756,26,27,23,0
Jumpei Yamasaki,757,24,27,24,0
Pedro Araujo,758,19,27,27,0
Juan Ignacio Galarza,759,27,27,29,0
Takuto Niki,760,34,27,32,0
Dusty H. Boyer,761,28,27,36,0
Lucas Poullain,762,26,26,9,0
Ronald Slobodchikov,763,28,26,17,0
Luis Patino,764,28,26,25,0
Marvin Netuschil,765,30,26,25,0
Kirill Kivattsev,766,24,26,26,0
Robert Strombachs,767,22,26,37,0
Naoki Tajima,768,21,26,38,0
Grigoriy Lomakin,769,23,26,41,0
Raymond Sarmiento,770,29,25,7,0
Rubin Statham,771,34,25,7,0
Inaki Montes-De La Torre,772,19,25,9,0
Lilian Marmousez,773,20,25,14,0
Jordi Arconada,774,25,25,16,0
Guilherme Clezar,775,29,25,17,0
Nathan Ponwith,776,23,25,26,0
Patrik Niklas-Salminen,777,25,25,27,0
Francesco Vilardo,778,32,25,42,2
Philip Sekulic,779,18,24,7,0
Johannes Ingildsen,780,24,24,9,0
Adria Soriano Barrera,781,22,24,9,0
Federico Agustin Gomez,782,25,24,11,0
Matteo Donati,783,27,24,12,0
Giles Hussey,784,24,24,13,0
Evan Hoyt,785,27,24,16,0
Nathan Seateun,786,24,24,18,0
Omar Giacalone,787,30,24,22,0
Constantin Schmitz,788,26,24,23,0
Markos Kalovelonis,789,27,24,25,0
Luigi Sorrentino,790,23,24,25,0
Vladyslav Manafov,791,28,24,27,0
Daniel Nguyen,792,31,23,5,0
Jurgen Zopp,793,33,23,10,0
Maciej Rajski,794,30,23,12,0
Jaume Pla Malfeito,795,26,23,14,0
Rrezart Cungu,796,23,23,14,0
Tomislav Brkic,797,31,23,14,0
Emil Reinberg,798,24,23,14,0
Raphael Collignon,799,20,23,15,0
Isaiah Strode,800,24,23,15,0
Gleb Sakharov,801,33,23,17,0
Alexey Zakharov,802,21,23,17,0
Fred Gil,803,36,23,19,0
Pablo Vivero Gonzalez,804,26,23,20,0
Petros Tsitsipas,805,21,23,21,0
Andrea Picchione,806,23,23,22,0
Leonardo Aboian,807,23,23,27,0
Ignacio Monzon,808,24,23,33,0
August Holmgren,809,23,22,8,0
Giacomo Dambrosi,810,20,22,11,0
Alessandro Ragazzi,811,25,22,13,0
Evan Song,812,29,22,16,0
Jordan Correia,813,24,22,17,0
Valerio Aboian,814,19,22,17,0
Maverick Banes,815,29,22,17,0
Pedro Vives Marcos,816,20,22,24,0
Alafia Ayeni,817,22,22,25,0
Michael Zhu,818,29,22,30,0
Adam El Mihdawy,819,32,22,30,0
Sergey Fomin,820,21,22,32,0
Marko Topo,821,18,21,9,0
Gonzalo Escobar,822,33,21,12,0
Christian Sigsgaard,823,24,21,12,0
Tom Jomby,824,31,21,13,0
Khololwam Montsi,825,19,21,14,0
Daniel Merida Aguilar,826,17,21,15,0
Uisung Park,827,21,21,17,0
Diego Augusto Barreto Sanchez,828,19,21,18,0
Calin Manda,829,23,21,18,0
Zsombor Velcz,830,19,21,19,0
Ivan Liutarevich,831,26,21,19,0
Mathys Erhard,832,20,21,20,0
Diego Fernandez Flores,833,21,21,22,0
Marko Miladinovic,834,21,21,23,0
Ricardo Ojeda Lara,835,29,20,14,0
Daniel Little,836,24,20,16,0
Nicolas Alberto Arreche,837,27,20,18,0
Alexander Zhurbin,838,30,20,19,0
Juan Bautista Otegui,839,23,20,20,0
Niki Kaliyanda Poonacha,840,26,20,22,0
Guy Den Heijer,841,24,20,22,0
Martin Breysach,842,20,20,26,0
Marat Deviatiarov,843,27,20,32,0
Kelsey Stevenson,844,31,20,35,0
Gabriel Alejandro Hidalgo,845,31,19,12,0
Edoardo Eremin,846,28,19,12,0
Marcello Serafini,847,19,19,13,0
Kuan-Yi Lee,848,25,19,13,0
Blu Baker,849,20,19,14,0
Maximiliano Estevez,850,32,19,16,0
Nikita Mashtakov,851,22,19,21,0
Louis Dussin,852,22,19,21,0
Dan Alexandru Tomescu,853,22,19,23,0
Peter Nagy,854,29,19,24,0
Blake Ellis,855,23,19,24,0
Simon Beaupain,856,22,19,25,0
Benjamin Dhoe,857,25,19,25,0
Kento Takeuchi,858,34,19,26,0
Karl Friberg,859,22,19,31,0
Kevin Krawietz,860,30,18,6,0
Tristan Boyer,861,20,18,10,0
Justin Butsch,862,27,18,11,0
Di Wu,863,30,18,11,0
Jie Cui,864,24,18,12,0
Fabien Reboul,865,26,18,14,0
Lorenzo Rottoli,866,20,18,15,0
Martin Redlicki,867,26,18,15,0
Robin Stanek,868,27,18,16,0
Joao Pedro Sorgi,869,28,18,16,0
Tom Kocevar-Desman,870,31,18,17,0
Maxence Beauge,871,21,18,18,0
Sidane Pontjodikromo,872,21,18,19,0
Julian Cash,873,25,18,19,0
Robin Bertrand,874,18,18,20,0
Marco Bortolotti,875,31,18,21,0
Gabriel Donev,876T,25,18,21,0
Luca Tomasetto,876T,25,18,21,0
Viktor Jovic,878,20,18,23,0
Alessandro Ingarao,879,22,18,25,0
Simon Anthony Ivanov,880,21,18,26,0
Stefano Battaglino,881,23,18,26,0
Millen Hurrion,882,22,17,5,0
N.Sriram Balaji,883,31,17,6,0
Daniel Rodrigues,884,22,17,7,0
Lamine Ouahab,885,37,17,9,0
Matyas Fuele,886,23,17,13,0
Eduardo Ribeiro,887,23,17,13,0
Nitin Kumar Sinha,888,23,17,14,0
Aaron Addison,889,26,17,16,0
Justin Roberts,890,25,17,16,0
Alec Deckers,891,21,17,17,0
Neil Oberleitner,892,22,17,18,0
Alejandro Hoyos,893,22,17,18,0
Luca Vanni,894,36,17,20,0
Mwendwa Mbithi,895,24,17,20,0
Louis Tessa,896,23,17,21,0
Ryan Shane,897,27,17,22,0
Simon Freund,898,25,17,23,0
Dali Blanch,899,19,17,23,0
Connor Farren,900,27,17,23,0
Arthur Bouquier,901,21,17,24,0
Chien-hsun Lo,902,23,17,25,0
William Blumberg,903,24,16,3,0
Simone Bolelli,904,36,16,3,0
Alexandre Reco,905,22,16,5,0
Gianluigi Quinzi,906,26,16,10,0
Aleksandr Braynin,907,22,16,11,0
Scott Griekspoor,908,31,16,12,0
Adam Moundir,909,26,16,14,0
Jonathan Gray,910,24,16,15,0
Marat Sharipov,911,19,16,16,0
Leopold Zima,912,21,16,16,0
Sean Cuenin,913,18,16,16,0
Dragos Dima,914,29,16,17,0
Francisco Cabral,915,25,16,18,0
Petr Nouza,916,23,16,20,0
Ajeet Rai,917,23,16,21,0
Wishaya Trongcharoenchaikul,918,26,16,25,0
Alejandro Mendoza,919,32,16,26,0
Toby Martin,920,29,16,27,0
Dostanbek Tashbulatov,921,21,16,30,0
Constantin Bittoun Kouzmine,922,23,16,30,0
Giorgio Ricca,923,27,16,31,0
Jan Zielinski,924,25,15,5,0
Enzo Wallart,925,25,15,7,0
Ante Pavic,926,32,15,11,0
Takanyi Garanganga,927,31,15,11,0
Mario Mansilla Diez,928,19,15,11,0
Milos Karol,929,19,15,12,0
Luka Pavlovic,930,21,15,14,0
Mauricio Echazu,931,33,15,16,0
Bruno Santanna,932,28,15,16,0
Rimpei Kawakami,933,21,15,21,0
Tsung-Hao Huang,934,22,15,21,0
Max Alcala Gurri,935,19,15,21,0
Hugo Pontico,936,24,15,22,0
Duje Kekez,937,28,15,24,0
Aziz Ouakaa,938,22,15,38,0
Eduardo Nava,939,24,14,3,0
Daniel Brands,940,34,14,6,0
Tommaso Compagnucci,941,22,14,9,0
Matt Kuhar,942,25,14,10,0
Benjamin Sigouin,943,22,14,10,0
Ljubomir Celebic,944,30,14,10,0
Daniel Antonio Nunez,945,20,14,11,0
Dennis Novikov,946,28,14,12,0
Andrey Golubev,947,34,14,14,0
Evgeny Philippov,948,20,14,14,0
Simon Yitbarek,949,21,14,14,0
Gabriel Petit,950,26,14,15,0
Tomas Jirousek,951,22,14,16,0
Brandon Walkin,952,27,14,16,0
Daniel Rincon,953,19,14,16,0
Maxime Tchoutakian,954,28,14,19,0
S D Prajwal Dev,955,25,14,19,0
Bruno Pujol Navarro,956,20,14,20,0
Petr Hajek,957,24,14,21,0
Volodoymyr Uzhylovskyi,958,33,14,21,0
Vlad Andrei Dancu,959,22,14,22,0
Gabriele Maria Noce,960,26,14,22,0
Maxime Mora,961,24,14,27,0
Ray Ho,962,22,14,27,0
Koray Kirci,963,23,14,28,0
Gorazd Srbljak,964,24,14,29,0
Gabriel Debru,965,16,13,5,0
Axel Geller,966,22,13,5,0
Alexander Vasilenko,967,27,13,6,0
Albert Alcaraz Ivorra,968,26,13,7,0
Maks Kasnikowski,969,18,13,9,0
Ilya Snitari,970,19,13,10,0
Santiago De La Fuente,971,20,13,11,0
Henry Craig,972,27,13,12,0
George Loffhagen,973,20,13,13,0
Yecong He,974,28,13,14,0
Yann Wojcik,975,25,13,14,0
Cheong-Eui Kim,976,31,13,14,0
Nik Razborsek,977,28,13,14,0
Benjamin Pietri,978,25,13,17,0
Kazuma Kawachi,979,27,13,18,0
Niklas Schell,980,23,13,20,0
Yan Sabanin,981,32,13,26,0
Mirko Martinez,982,23,13,32,0
James Tracy,983,19,12,1,0
Gabriel Diallo,984,20,12,4,0
Juan Manuel Benitez Chavarriaga,985,26,12,7,0
Gerard Granollers,986,33,12,8,0
Fernando Yamacita,987,24,12,9,0
Aleksandre Bakshi,988,24,12,11,0
Vladislav Ivanov,989T,22,12,12,0
Adrian Obert,989T,26,12,12,0
Peter Kobelt,991,31,12,12,0
Alexander Crnokrak,992,22,12,13,0
David Jorda Sanchis,993,27,12,14,0
Gabriele Bosio,994,21,12,14,0
Buvaysar Gadamauri,995,21,12,16,0
Abhinav Sanjeev Shanmugam,996,23,12,19,0
Ronan Joncour,997,25,12,21,0
Fabio Coelho,998,21,12,22,0
Vladimir Ivanov,999,34,12,23,0
Daniil Glinka,1000,21,12,28,0
Tristan McCormick,1001,22,11,5,0
Taha Baadi,1002,20,11,6,0
Pierre Yves Bailly,1003,18,11,7,0
Harri Heliovaara,1004,32,11,7,0
Liam Caruana,1005,24,11,7,0
Jerome Kym,1006,19,11,8,0
Sahar Simon,1007,21,11,8,0
Victor Lilov,1008,18,11,9,0
Szymon Kielan,1009,19,11,10,0
Gabriele Piraino,1010,18,11,10,0
Alexander Kotzen,1011,21,11,10,0
Maxence Broville,1012,23,11,11,0
Colin Markes,1013,25,11,12,0
Lucas Bouquet,1014,24,11,12,0
A.J. Catanzariti,1015,26,11,13,0
Paul Oosterbaan,1016,26,11,13,0
Xin Gao,1017,27,11,13,0
Frane Nincevic,1018,22,11,14,0
Filip Duda,1019,23,11,14,0
Peter Bothwell,1020T,26,11,15,0
Kristian Lozan,1020T,23,11,15,0
Maxime Pauwels,1022,23,11,16,0
Kazuki Nishiwaki,1023,27,11,16,0
Alessandro Petrone,1024,31,11,17,0
Max Houkes,1025,21,11,17,0
Michal Mikula,1026,22,11,18,0
Tadeas Paroulek,1027,22,11,18,0
Louroi Martinez,1028,23,11,18,0
Michiel De Krom,1029,23,11,18,0
Nicolas Tepmahc,1030,20,11,20,0
Guido Ivan Justo,1031,24,11,20,0
Mikhail Fufygin,1032,31,11,20,0
Rishab Agarwal,1033,26,11,21,0
Matvey Minin,1034,20,11,21,0
Nicolo Turchetti,1035,25,11,22,0
Peter Goldsteiner,1036,31,11,28,0
Deney Wassermann,1037,20,10,8,0
Menelaos Efstathiou,1038,23,10,8,0
Harrison Adams,1039,27,10,9,0
Yuta Kawahashi,1040,24,10,9,0
Alexander Lebedev,1041,24,10,9,0
Jorge Martinez Martinez,1042,26,10,9,0
Laurynas Grigelis,1043,30,10,9,0
Hiroyasu Ehara,1044,30,10,9,0
Jeffrey Von Der Schulenburg,1045,20,10,10,0
Jonas Trinker,1046,26,10,10,0
Lorenzo Frigerio,1047,33,10,11,0
Andrew Watson,1048,25,10,11,0
Niels Lootsma,1049,27,10,12,0
Masamichi Imamura,1050,23,10,12,0
Austin Rapp,1051,25,10,13,0
Michal Konecny,1052,32,10,14,0
Matas Vasiliauskas,1053,19,10,14,0
Mattia Frinzi,1054,22,10,15,0
Keisuke Saitoh,1055,20,10,15,0
Alexander Igoshin,1056,30,10,15,0
Hong Kit Wong,1057,23,10,16,0
Alexander Bernard,1058,18,10,17,0
Vladimir Korolev,1059T,26,10,18,0
Seita Watanabe,1059T,21,10,18,0
George Tsivadze,1061,29,10,18,0
Saba Purtseladze,1062,20,10,20,0
Alex Barrena,1063,19,10,24,0
Paul Woerner,1064,25,10,29,0
Julio Cesar Porras,1065T,24,9,3,0
Edward Winter,1065T,17,9,3,0
Toshihide Matsui,1067,43,9,3,0
Yibing Wu,1068,22,9,4,0
Alejandro Garcia,1069,20,9,5,0
Marcelo Zormann,1070,25,9,5,0
Laurent Rochette,1071,34,9,6,0
Joshua Ortlip,1072,25,9,6,0
Dalwinder Singh,1073,25,9,7,0
Ruan Roelofse,1074,32,9,7,0
Gengo Kikuchi,1075,30,9,8,0
Omar Brigida,1076,22,9,8,0
Matias Soto,1077,22,9,9,0
Kareem Al Allaf,1078T,23,9,9,0
Drew Baird,1078T,21,9,9,0
Daniel De Jonge,1080,22,9,9,0
Nicolas Zanellato,1081,20,9,10,0
Alen Rogic-Hadzalic,1082,24,9,10,0
Martin Borisiouk,1083,21,9,11,0
Chak Lam Coleman Wong,1084,17,9,11,0
Shinji Hazawa,1085,22,9,11,0
Julius Tverijonas,1086,27,9,11,0
Alvaro Guillen Meza,1087,19,9,11,0
Bruno Kuzuhara,1088,17,9,12,0
Lukas Pokorny,1089,20,9,13,0
Dev Javia,1090,19,9,13,0
Wojciech Marek,1091,20,9,13,0
Dennis Uspensky,1092,25,9,14,0
Alan Kohen,1093,28,9,14,0
Victor Vlad Cornea,1094,28,9,14,0
Albano Olivetti,1095,30,9,14,0
Rhett Purcell,1096,26,9,15,0
Joshua Paris,1097,26,9,15,0
Mehluli Don Ayanda Sibanda,1098,22,9,16,0
Shalva Dzhanashiya,1099,29,9,16,0
Andrea Guerrieri,1100,23,9,17,0
Yanais Laurent,1101T,29,9,17,0
Aristotelis Thanos,1101T,20,9,17,0
Fletcher Scott,1103,23,9,17,0
Jesse Flores,1104,26,9,18,0
Matthew Dellavedova,1105,21,9,19,0
Antonio Massara,1106,26,9,19,0
Issei Okamura,1107,29,9,20,0
Boris Butulija,1108,23,9,25,0
Sarp Agabigun,1109,24,9,25,0
Gustav Hansson,1110,26,8,3,0
Manuel Sanchez,1111,31,8,4,0
Gianluca Acquaroli,1112T,27,8,5,0
Loris Pourroy,1112T,21,8,5,0
Artem Smirnov,1114,34,8,5,0
Gregoire Jacq,1115,29,8,6,0
Jurabek Karimov,1116,23,8,6,0
Matej Sabanov,1117T,29,8,6,0
Sumit Sarkar,1117T,22,8,6,0
Vincent Stouff,1119,35,8,7,0
Bekkhan Atlangeriev,1120,20,8,7,0
Dylan Salton,1121,19,8,8,0
Sem Verbeek,1122,27,8,8,0
Pierre Faivre,1123,26,8,9,0
Lisandru Rodriguez,1124,19,8,10,0
Osgar O'Hoisin,1125,25,8,11,0
Joshua Peck,1126,23,8,11,0
Ivan Davydov,1127,25,8,11,0
Soichiro Moritani,1128,27,8,11,0
Anas Fattar,1129,34,8,11,0
Milan Welte,1130,20,8,12,0
Kenneth Raisma,1131,23,8,12,0
Blaise Bicknell,1132,20,8,12,0
Runhao Hua,1133,26,8,13,0
Thomas Deschamps,1134,23,8,13,0
Francisco Andreu Garcia,1135,20,8,14,0
Bart Stevens,1136,24,8,14,0
Aliaksandr Bulitski,1137,28,8,14,0
Timur Kiyamov,1138,25,8,16,0
Ben Jones,1139,23,8,17,0
Enrique Bogo,1140,26,8,17,0
Maxim Ratniuk,1141,25,8,18,0
Florent Bax,1142,22,8,20,0
Boris Pokotilov,1143,24,8,20,0
Daisuke Sumizawa,1144,23,8,21,0
Kristjan Tamm,1145,23,8,22,0
Taisei Ichikawa,1146,21,8,23,0
Tomislav Jotovski,1147,31,8,24,0
Haru Inoue,1148,25,7,3,0
Jules Marie,1149,30,7,3,0
Vincent Millot,1150,36,7,4,0
Hugo Voljacques,1151,29,7,5,0
Antonio Campo,1152,28,7,5,0
Alexander Maarten Jong,1153,21,7,6,0
Samuele Ramazzotti,1154,23,7,6,0
Julien Cagnina,1155,27,7,7,0
Alexander Zgirovsky,1156,20,7,7,0
Pavel Verbin,1157,20,7,7,0
Emilien Voisin,1158,21,7,7,0
Andrew Fenty,1159T,21,7,7,0
Mick Lescure,1159T,28,7,7,0
Jose Olivares,1159T,25,7,7,0
Alex Knaff,1162,24,7,8,0
Tomas Liska,1163,23,7,8,0
Inigo Cervantes,1164,32,7,8,0
Mauro De Maio,1165,20,7,8,0
Edoardo Graziani,1166,22,7,8,0
Giovani Samaha,1167,27,7,9,0
Tao Mu,1168,21,7,9,0
Egor Agafonov,1169T,19,7,9,0
Erik Arutiunian,1169T,17,7,9,0
Kiranpal Pannu,1169T,25,7,9,0
Raphael Baltensperger,1172,24,7,10,0
Max Hans Rehberg,1173,18,7,10,0
Loic Cloes,1174,23,7,11,0
Cheng-Yu Yu,1175,26,7,11,0
Calum Puttergill,1176,28,7,11,0
Paul Valsecchi,1177,24,7,12,0
Gabriel Ciro Da Silva,1178T,22,7,12,0
Sora Fukuda,1178T,24,7,12,0
Niklas Guttau,1180T,22,7,12,0
Ondrej Krstev,1180T,24,7,12,0
Alec Adamson,1182T,27,7,13,0
Tibo Colson,1182T,21,7,13,0
William Bushamuka,1184T,26,7,14,0
Dimitriy Voronin,1184T,22,7,14,0
Marlon Vankan,1186,21,7,14,0
Axel Garcian,1187,19,7,15,0
Lukas Palovic,1188,20,7,16,0
Domagoj Biljesko,1189T,24,7,16,0
Takashi Saito,1189T,27,7,16,0
Mikalai Haliak,1191,23,7,17,0
Isaac Stoute,1192,25,7,18,0
Manfred Fellin,1193,25,7,19,0
Alexandros Skorilas,1194,21,7,21,0
Albert Roglan,1195,23,7,21,0
Yannik Steinegger,1196,21,7,21,0
Pierre Delage,1197,21,7,22,0
Alexis Canter,1198,23,7,30,0
Mattias Siimar,1199,24,6,1,0
Tim Puetz,1200,34,6,2,0
Joao Souza,1201T,33,6,2,0
Szymon Walkow,1201T,26,6,2,0
Scott Puodziunas,1203,32,6,4,0
Sergio Galdos,1204,32,6,4,0
Victor Estrella Burgos,1205,41,6,5,0
Clement Geens,1206,25,6,5,0
Martin Beran,1207T,26,6,5,0
Valentin Lapalu,1207T,19,6,5,0
Jung-Woong Na,1207T,29,6,5,0
Biagio Gramaticopolo,1210,19,6,6,0
Victor Nunez,1211,30,6,6,0
Andrea Bolla,1212T,23,6,6,0
Nicolas Buitrago,1212T,23,6,6,0
Manuel Mazza,1214,22,6,7,0
Francisco Llanes,1215,19,6,7,0
Fausto Tabacco,1216T,19,6,7,0
Bautista Vilicich,1216T,20,6,7,0
Bu Yunchaokete,1216T,20,6,7,0
Mateo Gomez,1219T,19,6,7,0
Sergio Martos Gornes,1219T,27,6,7,0
Dusan Obradovic,1221,20,6,8,0
Yuanfeng Li,1222,28,6,8,0
Valentin Guenther,1223T,24,6,8,0
Pascal Meis,1223T,28,6,8,0
Luciano Tacchi,1225,20,6,8,0
Petr Bar Biryukov,1226,20,6,9,0
Gianluca Di Nicola,1227,26,6,9,0
Kody Pearson,1228,22,6,9,0
Jakob Aichhorn,1229T,23,6,9,0
Giorgio Tabacco,1229T,18,6,9,0
Nikita Volonski,1229T,20,6,9,0
Mark Lajal,1232,18,6,10,0
Ishaque Eqbal,1233,24,6,10,0
Amr Elsayed,1234T,23,6,10,0
Lucas Gomez,1234T,26,6,10,0
Garrett Johns,1234T,21,6,10,0
Saida'Lo Saidkarimov,1234T,24,6,10,0
Niels Visker,1238,20,6,10,0
Nicolas Parizzia,1239T,23,6,11,0
Sergei Pogosian,1239T,23,6,11,0
Digvijaypratap Singh,1239T,21,6,11,0
Pol Amoros Ramos,1242,24,6,11,0
Daniel Siniakov,1243,19,6,12,0
Zura Tkemaladze,1244,21,6,12,0
Palaphoom Kovapitukted,1245T,22,6,12,0
Arvid Nordquist,1245T,23,6,12,0
Julian Bradley,1247,29,6,12,0
Alexander Brown,1248,22,6,13,0
Zihao Xia,1249,25,6,13,0
Kai Lemstra,1250T,22,6,13,0
Riccardo Maiga,1250T,32,6,13,0
Leonid Sheyngezikht,1250T,21,6,13,0
Taiyo Yamanaka,1253,20,6,14,0
Franco Roncadelli,1254T,22,6,14,0
Marius Ruzgas,1254T,25,6,14,0
William Griffith,1256,26,6,16,0
Alexandr Binda,1257T,20,6,17,0
Kosuke Ogura,1257T,26,6,17,0
Aryan Goveas,1259T,23,6,21,0
Aliaksandr Liaonenka,1259T,22,6,21,0
Felipe Hernandez,1261,21,5,2,0
Benjamin Hannestad,1262T,25,5,3,0
Sven Lah,1262T,23,5,3,0
James Trotter,1264,22,5,3,0
Matheus Amorim De Lima,1265,17,5,4,0
Ko Suzuki,1266,30,5,4,0
Gabriel Tumasonis,1267,26,5,4,0
Jordi Samper-Montana,1268,31,5,4,0
Kalman L. Boyd,1269T,24,5,5,0
Vaughn Hunter,1269T,27,5,5,0
Jakub Wojcik,1271,24,5,5,0
Adrian Andrzejczuk,1272T,25,5,5,0
Axel Nefve,1272T,21,5,5,0
Tadas Babelis,1274T,25,5,6,0
Pedro Rodenas,1274T,17,5,6,0
Dejan Katic,1276T,33,5,6,0
Yuta Kikuchi,1276T,22,5,6,0
Ye Cong Mo,1276T,21,5,6,0
Alessandro Pecci,1279,20,5,6,0
Christian Oliveira,1280T,22,5,6,0
Finn Tearney,1280T,31,5,6,0
Wilfredo Gonzalez,1282T,29,5,6,0
Lucas Vuradin,1282T,23,5,6,0
Martyn Pawelski,1284,17,5,7,0
Jacob Dunbar,1285,26,5,7,0
Jack Findel-Hawkins,1286T,27,5,7,0
Cyril Vandermeersch,1286T,22,5,7,0
Oscar Weightman,1286T,20,5,7,0
Matvey Khomentovskiy,1289T,27,5,7,0
Bart Van Den Berg,1289T,28,5,7,0
Florent Diep,1291T,30,5,8,0
Filippo Moroni,1291T,21,5,8,0
Chukang Wang,1291T,22,5,8,0
Alex Martinez,1294,20,5,8,0
Lorenzo Joaquin Rodriguez,1295T,22,5,9,0
Michael Shabaz,1295T,34,5,9,0
Yasha Zemel,1295T,23,5,9,0
Berk Ilkel,1298T,20,5,9,0
Marek Jaloviec,1298T,28,5,9,0
Stefan Micov,1298T,29,5,9,0
Kasidit Samrej,1298T,21,5,9,0
Pak Long Yeung,1298T,27,5,9,0
Alex Blumenberg,1303T,29,5,10,0
Mario Gonzalez Fernandez,1303T,19,5,10,0
MinKyu Song,1303T,31,5,10,0
Eero Vasa,1303T,25,5,10,0
Edouard Villoslada,1303T,22,5,10,0
Marco De Rossi,1308T,24,5,10,0
Rishi Reddy,1308T,23,5,10,0
Marek Semjan,1308T,34,5,10,0
Martin Van Der Meerschen,1308T,21,5,10,0
Alejandro Manzanera Pertusa,1312T,18,5,11,0
Errol Smith,1312T,27,5,11,0
Reese Stalder,1312T,25,5,11,0
Alec Beckley,1315T,20,5,12,0
Romain Faucon,1315T,19,5,12,0
Wissam Abderrahman,1317T,18,5,12,0
Oleg Khotkov,1317T,31,5,12,0
Sergi Perez Contri,1317T,24,5,12,0
Siddhant Banthia,1320T,21,5,12,0
Christoffer Solberg,1320T,28,5,12,0
Joao Victor Couto Loureiro,1322T,18,5,13,0
Luca Prevosto,1322T,23,5,13,0
Jody Maginley,1324T,26,5,14,0
Joao Marcos Nusdeo,1324T,27,5,14,0
Anirudh Chandrasekar,1326,23,5,15,0
James Frawley,1327T,27,5,16,0
Maik Steiner,1327T,27,5,16,0
Adil Kalyanpur,1329,22,5,18,0
Miguel Angel Reyes-Varela,1330,34,4,1,0
Ignacio Antonio Becerra Otarola,1331T,21,4,2,0
Alexander Merino,1331T,29,4,2,0
Juan Carlos Prado Angelo,1331T,17,4,2,0
Leny Mitjana,1334,27,4,2,0
Robert Galloway,1335,29,4,2,0
Chuhan Wang,1336,30,4,3,0
Aristarkh Safonov,1337,19,4,3,0
Cristobal Castro,1338T,28,4,4,0
Sergio Gutierrez-Ferrol,1338T,33,4,4,0
Vishnu Vardhan,1338T,34,4,4,0
Andrea Gola,1341,20,4,4,0
Nino Ehrenschneider,1342T,20,4,4,0
Gianni Mina,1342T,30,4,4,0
Abedallah Shelbayh,1342T,18,4,4,0
Ti Chen,1345T,38,4,4,0
Ronan Jachuck,1345T,20,4,4,0
Takuya Kumasaka,1345T,23,4,4,0
Felipe Mantilla,1345T,28,4,4,0
Luka Petrovic,1345T,19,4,4,0
Sanhui Shin,1345T,24,4,4,0
Hikaru Shiraishi,1345T,21,4,4,0
Yann Marti,1352,33,4,4,0
Fabrizio Andaloro,1353T,21,4,5,0
Johan Alexander Rodriguez Rodriguez,1353T,18,4,5,0
Wei-De Lin,1355T,26,4,5,0
Haitong Xia,1355T,26,4,5,0
Petru-Alexandru Luncanu,1357T,32,4,5,0
Piotr Matuszewski,1357T,23,4,5,0
Oscar Mesquida Berg,1357T,25,4,5,0
Ji Hoon Son,1357T,27,4,5,0
Yeong-Seok Jeong,1361T,22,4,5,0
Sho Katayama,1361T,32,4,5,0
Siphosothando Montsi,1361T,22,4,5,0
Juan Sebastian Osorio,1361T,24,4,5,0
Roee Benya,1365T,22,4,6,0
Antonin Bolardt,1365T,23,4,6,0
Thomas Laurent,1365T,24,4,6,0
